Federal Jurisdiction,Avenue,Form Names,Where Form Should be Submitted,Readme: Additional Information for Complainants,Unless,or Unless,or Unless It Happened,Time Exemptions
Human rights issue,CHRC,CHRC Individual.pdf,https://www.chrc-ccdp.gc.ca/find-help/file-discrimination-complaint,https://www.chrc-ccdp.gc.ca/individuals/human-rights,,,> 1 year,May accept late complaints
OHS Reprisal,CIRB Part II Reprisal,CIRB Part II Reprisal Complaint Form.pdf,https://portal-portail.cirb-ccri.gc.ca/en-CA/HomeAccueil/HomeAccu?_gl=1*453wmu*_ga*MjQ3MzkxOTYzLjE3NjE0MjE0NjI.*_ga_C8R1NE5MGT*czE3NjE0NDQ4MDMkbzMkZzEkdDE3NjE0NDQ4MDgkajU1JGwwJGgw,https://www.cirb-ccri.gc.ca/en/about-appeals-applications-complaints/health-safety-reprisal-complaints,,,> 90 days,Will almost certainly not accept late complaints
Reprisal (Employment Standards),CIRB Part III Reprisal,CIRB Part III Reprisal Complaint Form.pdf,https://portal-portail.cirb-ccri.gc.ca/en-CA/HomeAccueil/HomeAccu?_gl=1*453wmu*_ga*MjQ3MzkxOTYzLjE3NjE0MjE0NjI.*_ga_C8R1NE5MGT*czE3NjE0NDQ4MDMkbzMkZzEkdDE3NjE0NDQ4MDgkajU1JGwwJGgw,https://www.cirb-ccri.gc.ca/en/about-appeals-applications-complaints/employment-standards-reprisal-complaints,,,> 90 days,Will almost certainly not accept late complaints
"Employment Standards (Monetary or Non-Monetary), not Trucking",ESDC Labour Program ,CLC Monetary and Non-Monetary.pdf,https://www.canada.ca/en/services/jobs/workplace/federal-labour-standards/submit.html,https://www.canada.ca/en/services/jobs/workplace/federal-labour-standards/filing-complaint.html,,,> 6 months,Will almost certainly not accept late complaints
"Employment Standards (Monetary or Non-Monetary), Trucking",ESDC Labour Program ,CLC Trucking Monetary and Non-Monetary.pdf,https://www.canada.ca/en/services/jobs/workplace/federal-labour-standards/submit.html,https://www.canada.ca/en/services/jobs/workplace/federal-labour-standards/filing-complaint.html,,,,
,,,,,,,,
"Unjust Dismissal, no human rights issue",CIRB Unjust Dismissal,CIRB Unjust Dismissal.pdf,https://www.canada.ca/en/services/jobs/workplace/federal-labour-standards/submit.html,https://www.cirb-ccri.gc.ca/en/about-appeals-applications-complaints/employment-standards-unjust-dismissal AND https://www.canada.ca/en/services/jobs/workplace/federal-labour-standards/eligibility-timelines.html,Not employee,Employed <12 months,> 90 days,Will almost certainly not accept late complaints
Unjust Dismissal (only wants severance and pay in lieu of notice),ESDC Labour Program ,CIRB Unjust Dismissal.pdf,https://www.canada.ca/en/services/jobs/workplace/federal-labour-standards/submit.html,https://www.canada.ca/en/services/jobs/workplace/federal-labour-standards/filing-complaint.html,Not employee,Employed <12 months,> 6 months,Will almost certainly not accept late complaints
Unjust Dismissal (only wants pay in lieu of notice),ESDC Labour Program ,CIRB Unjust Dismissal.pdf,https://www.canada.ca/en/services/jobs/workplace/federal-labour-standards/submit.html,https://www.canada.ca/en/services/jobs/workplace/federal-labour-standards/filing-complaint.html,Not employee,Employed <3 months,> 6 months,Will almost certainly not accept late complaints
Unjust Dismissal AND OHS reprisal with a refusal of unsafe work,CIRB Part II Reprisal,CIRB Part II Reprisal Complaint Form.pdf,https://portal-portail.cirb-ccri.gc.ca/en-CA/HomeAccueil/HomeAccu?_gl=1*453wmu*_ga*MjQ3MzkxOTYzLjE3NjE0MjE0NjI.*_ga_C8R1NE5MGT*czE3NjE0NDQ4MDMkbzMkZzEkdDE3NjE0NDQ4MDgkajU1JGwwJGgw,https://www.cirb-ccri.gc.ca/en/about-appeals-applications-complaints/health-safety-reprisal-complaints,Not employee,,> 90 days,Will almost certainly not accept late complaints
Unjust Dismissal AND OHS reprisal withOUT a refusal of unsafe work,Talk to a lawyer,,,,Not employee,,> 90 days,Will almost certainly not accept late complaints
"Unjust Dismissal with human rights issue, employee, employed >12 months, it's been <90 days since termination",CIRB Unjust Dismissal AND CHRC,CIRB Unjust Dismissal.pdf AND CHRC Individual.pdf,https://www.canada.ca/en/services/jobs/workplace/federal-labour-standards/submit.html AND https://www.chrc-ccdp.gc.ca/find-help/file-discrimination-complaint,https://www.canada.ca/en/services/jobs/workplace/federal-labour-standards/filing-complaint.html AND https://www.chrc-ccdp.gc.ca/individuals/human-rights,,,,
Miscellaneous ,Talk to a lawyer extensively,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,\
Provincial Jurisdiction,Avenue,Form Names,Where Form Should be Submitted,Readme: Additional Information for Complainants,Unless,or Unless,,
Human Rights (Discrimination),BC HRC (Individual Complaint),BC HRT Individual Complaint.pdf,https://www.bchrt.bc.ca/complaint-process/complain/file/,https://www.bchrt.bc.ca/complaint-process/,,> 1 year since incident,,
